RET,X026,Introduction to Basic Respiratory Equipment,0.5,Health Science
RET,X026C,Introduction to Basic Respiratory Equipment,0.5,Health Science
RET,X027C,Instrumentation,0.5,Health Science
RET,X234C,Critical Thinking in Respiratory Care,1,Health Science
RET,X244,Emergency Care,0.5,Health Science
RET,X244C,Emergency Care,0.5,Health Science
RET,X264,Continuous Ventilation,0.5,Health Science
RET,X264C,Continuous Ventilation,0.5,Health Science
RET,X265C,Advanced Equipment II,0.5,Health Science
RET,X274C,Clinical Care Techniques,1,Health Science
RET,X275,Respiratory Therapy Theory II,0.5,Health Science
RET,X275C,Respiratory Therapy Theory II,0.5,Health Science
RET,X280,Critical Respiratory Care,0.5,Health Science
RET,X280C,Critical Respiratory Care,0.5,Health Science
RET,X283,Intensive Respiratory Care I,0.5,Health Science
RET,X284C,Critical Care Techniques,0.5,Health Science
RET,X291,Clinical Respiratory Medicine 1,0.5,Health Science
RET,X293,Clinical Respiratory Medicine 3,0.5,Health Science
RET,X295,Clinical Respiratory Medicine 4,0.5,Health Science
RET,X295C,Clinical Respiratory Medicine 4,0.5,Health Science
RET,X296,Clinical Respiratory Medicine 4,0.5,Health Science
RET,X350,Respiratory Therapy Pharmacology,0.5,Health Science
RET,X350C,Respiratory Therapy Pharmacology,0.5,Health Science
RET,X414C,Principles of Pulmonary Function,0.5,Health Science
RET,X418C,Adv Pulmonary Studies,0.5,Health Science
RET,X442,Introduction to Physiological Monitoring,0.5,Health Science
RET,X484,Prin of Cardiopulmonary Pathology,0.5,Health Science
RET,X485,Pulmonary Anatomy and Physiology,0.5,Health Science
RET,X485C,Pulmonary Anatomy and Physiology,0.5,Health Science
RET,X533C,Pulmonary Medicine,1,Health Science
RET,X534C,Principles of Respiratory Rehabilitation,1,Health Science
RET,X601C,Respiratory Care Hospital Interactions,0.5,Health Science
RET,X714,General Pediatric Respiratory Care,0.5,Health Science
RET,X714C,General Pediatric Respiratory Care,0.5,Health Science
RET,X830C,Special Topics/Seminars,0.5,Health Science
RET,X834,Clinical Practice/ 201-300 Hrs,0.5,Health Science
RET,X834L,Clinical Practice/ 201-300 Hrs,0.5,Health Science
RET,X835,Clinical Practice/ 201-300 Hrs,1,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
RET,X835L,Clinical Practice/ 201-300 Hrs,0.5,Health Science
RET,X874,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X875,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X875L,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X876,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X876C,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X876L,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RET,X877,Clinical Practice,0.5,Health Science
RET,X879L,Clinical Practice/ 801-1000 Hrs,0.5,Health Science
RMI,96,Insurance Sales Agent (General Lines) OCP A (200 hours),1,Business Management & Administration
RTE,4,Foundations of Radiologic Technology (96 hours),0.5,Health Science
RTE,410,Radiographic Imaging and Exposure 1 (96 hours),0.5,Health Science
RTE,450,Radiographic Imaging & Exposure II (90 hours),0.5,Health Science
RTE,506,Radiographic Procedures II (90 hours),0.5,Health Science
RTE,610,Radiation Physics (86 hours),0.5,Health Science
RTE,780,Radiographic Pathology & Directed Research (86 hours),0.5,Health Science
RTE,809,Clinical Education 1 (312 hours),2,Health Science
RTE,819,Clinical Education II (504 hours),3,Health Science
RTE,829,Clinical Education III (220 hours),1,Health Science
RTE,839,Advanced Clinical Education IV (340 hours),2,Health Science
RTE,849,Advanced Clinical Education V (360 hours),2,Health Science
RTE,939,Radiography Seminar (153 hours),1,Health Science
RTE,X000,Orientation to Radiological Technology,0.5,Health Science
RTE,X002,Introduction to Radiological Technology (L),0.5,Health Science
RTE,X061,License/Certification Review (L),0.5,Health Science
RTE,X111,Patient Care Procedures (L),0.5,Health Science
RTE,X111C,Patient Care Procedures (L),0.5,Health Science
RTE,X116,Advanced Patient Care (U),0.5,Health Science
RTE,X130,Pharmacology in Radiography,0.5,Health Science
RTE,X157,Medical Imaging of the Human Structure (L),0.5,Health Science
RTE,X202,Administrative and Professional Concerns (L/U),0.5,Health Science
RTE,X385,Radiation Biology,0.5,Health Science
RTE,X385C,Radiation Biology,0.5,Health Science
RTE,X418,Radiographic Technique I,0.5,Health Science
RTE,X418C,Radiographic Technique I,0.5,Health Science
RTE,X457,Radiographic Technique II,0.5,Health Science
RTE,X457C,Radiographic Technique II,0.5,Health Science
RTE,X458,Radiographic Exposure w/Quality Mgmt II (L),0.5,Health Science
RTE,X473C,Quality Management (L/U),0.5,Health Science
RTE,X503,Radiographic Positioning I (L),0.5,Health Science
RTE,X503C,Radiographic Positioning I (L),0.5,Health Science
RTE,X513,Radiogr. Positioning II (L),0.5,Health Science
RTE,X513C,Radiogr. Positioning II (L),0.5,Health Science
RTE,X523,Radiograph. Positioning III (L),0.5,Health Science
RTE,X523C,Radiograph. Positioning III (L),0.5,Health Science
RTE,X542,Advanced Radiographic Positioning (L),0.5,Health Science
RTE,X563,Special Radiographic Procedures (L/U),0.5,Health Science
RTE,X571,Computed Tomography (L),0.5,Health Science
RTE,X571L,Computed Tomography (L),0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
RTE,X573,Computerized Imaging,0.5,Health Science
RTE,X573C,Computerized Imaging,0.5,Health Science
RTE,X581,CT Physics and Instrumentation,0.5,Health Science
RTE,X601,Radiographic Imaging I,0.5,Health Science
RTE,X609C,Principles of Radiography IV,0.5,Health Science
RTE,X613,Radiologic Physics (L),0.5,Health Science
RTE,X623,Radiographic Physics II (L),0.5,Health Science
RTE,X762,Cross Sectional Anatomy I (L),0.5,Health Science
RTE,X763,Introduction to Sectional Anatomy and Computed Tomography,0.5,Health Science
RTE,X782C,Medical and Surgical Diseases (L/U),0.5,Health Science
RTE,X804,Clinical Education I (L/U),0.5,Health Science
RTE,X804L,Clinical Education I (L/U),0.5,Health Science
RTE,X805,Computed Tomography (CT) Clinical Education 1,0.5,Health Science
RTE,X814L,Clinical Education II (L/U),0.5,Health Science
RTE,X824,Clinical Education III (L/U),0.5,Health Science
RTE,X824C,Clinical Education III (L/U),0.5,Health Science
RTE,X824L,Clinical Education III (L/U),0.5,Health Science
RTE,X834,Clinical Education IV (L/U),0.5,Health Science
RTE,X834L,Clinical Education IV (L/U),0.5,Health Science
RTE,X844,Clinical Education V (L/U),0.5,Health Science
RTE,X844L,Clinical Education V (L/U),0.5,Health Science
RTE,X854L,Clinical Education VI,0.5,Health Science
RTT,514,Studio Assistant OCP A (450 hours),3,Career/Technical Education
RTT,516,Studio Technician OCP B (450 hours),3,Career/Technical Education
RTT,518,Studio Technician/Edit Assistant OCP C (450 hours),3,Career/Technical Education
RTT,520,Television Production/Edit Technician OCP D (300 hours),2,"Arts, A/V Technology & Communication"
RTT,522,Broadcast Announcer OCP A (150 hours),1,Career/Technical Education
RTT,523,Audio Equipment Technician OCP B (300 hours),2,Career/Technical Education
RTT,524,Sound Engineering Technician OCP C (300 hours),2,Career/Technical Education
RTT,525,Broadcast Technician OCP F (300 hours),2,Career/Technical Education
RTT,527,Audio Broadcast Technician (300 hours),2,Career/Technical Education
RTT,530,Digital Video Fundamentals OCP A (150 hours),1,Career/Technical Education
RTT,531,Audio and Video Equipment Technician OCP B (150 hours),1,Career/Technical Education
RTT,532,Camera Operator OCP C (300 hours),2,Career/Technical Education
RTT,533,Video Editor OCP D (300 hours),2,Career/Technical Education
RTT,534,Multi-media Artist & Animator OCP E (300 hours),2,Career/Technical Education
RTV,15,Digital Videography 450 hours,2.5,"Arts, A/V Technology & Communication"
SER,80,Power Equipment Service Technician 1 (300 hours),2,Architecture & Construction
SER,81,Power Equipment Service Technician 2 (300 hours),2,Architecture & Construction
SER,82,Power Equipment Service Technician 3 (300 hours),2,Architecture & Construction
SLS,X261,General Leadership,0.5,Health Science
SON,X000C,Introduction to Sonography I (L),0.5,Health Science
SON,X001,Introduction to Sonography II w/Lab (L),0.5,Health Science
SON,X001C,Introduction to Sonography II w/Lab (L),0.5,Health Science
SON,X004C,Sonographic Hospital Procedures,0.5,Health Science
SON,X006,Professional Aspects of Sonography (L),0.5,Health Science
SON,X052,"Human Anatomy, Physiology and Pathology",0.5,Health Science
SON,X100C,Principles and Protocols of Imaging (L),0.5,Health Science
SON,X111,Abdominal Sonography I (L),0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
SON,X112,Abdominal Sonography II (L),0.5,Health Science
SON,X112C,Abdominal Sonography II (L),0.5,Health Science
SON,X121,Obstetrics/Gynecology Sonography I (L),0.5,Health Science
SON,X121C,Obstetrics/Gynecology Sonography I (L),0.5,Health Science
SON,X122,Obstetrics/Gynecology Sonography II,0.5,Health Science
SON,X122C,Obstetrics/Gynecology Sonography II,0.5,Health Science
SON,X150,Neurosonology and Superficial Structures,0.5,Health Science
SON,X171,Vascular Sonography (L),0.5,Health Science
SON,X175,Vascular Sonography (L),0.5,Health Science
SON,X175C,Vascular Sonography (L),0.5,Health Science
SON,X176,Vascular Sonography III,0.5,Health Science
SON,X176C,Vascular Sonography III,0.5,Health Science
SON,X210,Introduction to Sonographic Physics and Instrumentation (L),0.5,Health Science
SON,X211,Medical Sonographic Physics I (L),0.5,Health Science
SON,X211C,Medical Sonographic Physics I (L),0.5,Health Science
SON,X212,Medical Sonographic Physics II,0.5,Health Science
SON,X400,Introduction to Echocardiography,0.5,Health Science
SON,X400C,Introduction to Echocardiography,0.5,Health Science
SON,X401,Echocardiography II,0.5,Health Science
SON,X401C,Echocardiography II,0.5,Health Science
SON,X614,Acoustical Physics & Instrumentation I (L),0.5,Health Science
SON,X618,Acoustical Physics and Instrumentation II,0.5,Health Science
SON,X804,Clinical Education I (L),0.5,Health Science
SON,X804L,Clinical Education I (L),0.5,Health Science
SON,X808,Clinical Education 1,1,Health Science
SON,X814,Clinical Education II (L),0.5,Health Science
SON,X814L,Clinical Education II (L),0.5,Health Science
SON,X818,Clinical Education 2,1,Health Science
SON,X824,Clinical Education III (L),0.5,Health Science
SON,X824L,Clinical Education III (L),0.5,Health Science
SON,X828,Sonographic Clinical Practicum III,1,Health Science
SON,X834,Clinical Education IV (L),0.5,Health Science
SON,X834L,Clinical Education IV (L),0.5,Health Science
SON,X844,Clinical Education V (L),0.5,Health Science
SON,X854,Clinical Education VI,0.5,Health Science
STS,3,Introduction to Surgical Technology (PSAV),0.5,Health Science
STS,10,Surgical Technologist (1 of 3) OCP C (343 hours),2,Health Science
STS,11,Surgical Technologist (2 of 3) OCP C (343 hours),2,Health Science
STS,12,Surgical Technologist (3 of 3) OCP C (344 hours),2,Health Science
STS,13,Central Sterile Processing Technician (410 hours),2.5,Health Science
STS,14,Central Service Materials Management (400 hours),2.5,Health Science
STS,15,Central Supply Technician OCP B (210 hours),1,Health Science
STS,19,Central Sterile Service Materials Management,1,Health Science
STS,120,Surgical Specialties I,0.5,Health Science
STS,155,Operating Room Technique,0.5,Health Science
STS,256,Surgical Procedures Clinical II,1,Health Science
STS,810,"Surgical Technology, Part I",3.5,Health Science
STS,820,"Surgical Technology, Part II",1.5,Health Science
STS,0003L,Introduction to Surgical Technology (PSAV),0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
STS,0010L,Surgical Technologist (1 of 3) OCP C (343 hours),1,Health Science
STS,0011C,Surgical Technologist (2 of 3) OCP C (343 hours),3,Health Science
STS,0011L,Surgical Technologist (2 of 3) OCP C (343 hours),2,Health Science
STS,0012L,Surgical Technologist (3 of 3) OCP C (344 hours),2,Health Science
STS,0015C,Central Supply Technician OCP B (210 hours),1,Health Science
STS,0015L,Central Supply Technician OCP B (210 hours),0.5,Health Science
STS,0155C,Operating Room Technique,1,Health Science
STS,0155L,Operating Room Technique,0.5,Health Science
STS,0255L,Surgical Procedures Clinical I,1,Health Science
STS,0256L,Surgical Procedures Clinical II,2,Health Science
STS,0257L,Surgical Procedures Clinical III,1.5,Health Science
STS,X302,Introduction to Surgical Technology (L),0.5,Health Science
STS,X307,Operating Room Technique I- Instrumentation,0.5,Health Science
STS,X308,Perioperative Patient Care Concepts,0.5,Health Science
STS,X310,Surgical Techniques and Procedures for the Surgical Assistant (L),0.5,Health Science
STS,X323,Surgical Procedures I,0.5,Health Science
STS,X324,Surgical Procedures II,0.5,Health Science
STS,X340C,Pharmacology and Anesthesia (L),0.5,Health Science
STS,X925C,Endoscopy Basics,0.5,Health Science
STS,X944C,Internships/Practicums/Clinical Practice,0.5,Health Science
STS,X945C,Internships/Practicums/Clinical Practice,0.5,Health Science
SUR,X101,Basic Surveying with Math Prereq,0.5,Architecture & Construction
SUR,X101C,Basic Surveying with Math Prereq,0.5,Architecture & Construction
TAR,X122C,Arch Drafting (Cont.),0.5,Architecture & Construction
TAR,X122L,Arch Drafting (Cont.),0.5,Architecture & Construction
TAR,X941,Internships/Practicums/Clinical Practice,0.5,Architecture & Construction
TDR,70,Blueprint Reader OCP A (150 hours),1,Career/Technical Education
TDR,301,CAD & Modeling 1,3,Career/Technical Education
TDR,302,CAD & Modeling 2,3,Career/Technical Education
TDR,303,Bldg Info Modeling CAD Technic,2,Career/Technical Education
TDR,305,Mechanical CAD Technician,2,Career/Technical Education
TDR,306,Civil/GIS CAD Technician,2,Career/Technical Education
TDR,370,Drafting Assistant OCP B (450 hours),3,Career/Technical Education
TDR,570,Architectural Drafter 150 hours,1,Career/Technical Education
TDR,775,Drafting Detailer (1 of 2) 150 hours,1,Career/Technical Education
TDR,776,Drafting Detailer (2 of 2) 150 hours,1,Career/Technical Education
TDR,777,Mechanical Drafting 150 hours,1,Architecture & Construction
TDR,874,Civil Drafting,1,Career/Technical Education
TDR,875,Structural Drafting 150 hours,1,Architecture & Construction
TPA,390,Stage Production Assistant,1,"Arts, A/V Technology & Communication"
TPA,391,Stage Production Technician,1,"Arts, A/V Technology & Communication"
TRA,49,Crane Operator OCP D (300 hours),2,Architecture & Construction
TRA,70,Heavy Equipment Maintenance Technician OCP A (150 hours),1,Architecture & Construction
TRA,80,Tractor Trailer Truck Driver OCP A (320 hours),2,"Transportation, Distribution & Logistics"
TRA,84,Truck Driver Heavy Florida Class “B” OCP A (150 hours),1,"Transportation, Distribution & Logistics"
TRA,86,Tractor Operator OCP B (150 hours),1,Architecture & Construction
TRA,87,Offroad Equipment Operator (1 of 2) OCP C (300 hours),2,"Transportation, Distribution & Logistics"
TRA,88,Offroad Equipment Operator (2 of 2) OCP C (300 hours),2,"Transportation, Distribution & Logistics"
TRA,180,Packer OCP A (150 hours),1,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
TRA,180,Packer OCP A (150 hours),1,"Transportation, Distribution & Logistics"
TRA,181,Material Handler OCP B (150 hours),1,Manufacturing
TRA,182,"Shipping, Receiving and Traffic Clerk OCP C (150 hours)",1,"Transportation, Distribution & Logistics"
TRA,183,Logistics Technician OCP D (150 hours),1,"Transportation, Distribution & Logistics"
TRA,650,Natural Gas Distribution 1,1,"Transportation, Distribution & Logistics"
TRA,651,Natural Gas Distribution 2,1,"Transportation, Distribution & Logistics"
TRA,652,Natural Gas Distribution 3,1,"Transportation, Distribution & Logistics"
TRA,0080C,Tractor Trailer Truck Driver OCP A (320 hours),2,"Transportation, Distribution & Logistics"
TRA,X010,Principles of Transportation,0.5,"Transportation, Distribution & Logistics"
TRA,X131,Purchasing for Logistics Managers,0.5,"Transportation, Distribution & Logistics"
TRA,X154,Supply Chain Management,0.5,"Transportation, Distribution & Logistics"
TRA,X230,Warehouse Management,0.5,"Transportation, Distribution & Logistics"
Prefix Abbreviation,Prefix Title
ACR,HVACR: Heating/Ventilation/AC/Refrigeration: Tech/Trades
AER,Automotive Mechanics
AFR,Aerospace Studies
AMH,American History
AML,American Literature
AMT,Aviation Maintenance Technology
AMT,Aviation Maintenance Technology
APA,Applied Accounting
ARA,Arabic Language
ARC,Architecture
ARC,Architecture
ARH,Art History
ARR,Autobody Repair and Refinishing
ART,Art
ASC,Aviation Science: General
ASL,American Sign Language
AST,Astronomy
ATE,Animal Science Technology
ATF,Aviation Technology: Flight
ATT,Aviation Technology: Theory
AVM,Aviation Management
AVS,Avionics
BCN,Building Construction
BCT,Building Construction Trades
BCV,Building Construction: Vocational
BCV,Building Construction Vocational
BME,Biomedical Engineering
BOT,Botany
BSC,Biological Sciences
BSC,Biological Sciences
BUL,Business Law
CAP,Computer Applications
CCJ,Criminology and Criminal Justice
CET,Computer Engineering Technology
CGS,Computer General Studies
CHD,Home Economics: Child Development
CHI,Chinese
CHM,Chemistry
CIS,Computer Science and Information Systems
CJC,Corrections
CJD,Criminal Justice Development
CJE,Law Enforcement
CJK,Criminal Justice Basic Training (A.A.S. or Vocational)
CJL,Law & Process
CNT,Computer Networks
COP,Computer Programming
COT,Computing Theory
CTS,Computer Technology and Skills
CTS,Computer Technology and Skills
CVT,Cardiovascular Technology
DAA,"Dance, Emphasis on Activity"
DAN,Dance
DEA,Dental Assisting
DEH,Dental Hygiene
DES,Dental Support
DIG,Digital Media
DIG,Digital Media
DIM,"Diesel, Hybrid and Alternative Fuel Technology"
DSC,Domestic Security
EEC,Education: Early Childhood
EER,Electrical/Electronics Repair
EET,Electrical Engineering Technology
EGN,Engineering: General
